page_id,pages_completed
A1_Z_VOR_A1_L1_INTRO,0
A1_Z_VOR_A1_L1_P1,1
A1_Z_VOR_A1_L1_P2,2
A1_Z_VOR_A1_L1_P3,3
A1_Z_VOR_A1_L1_P4,4
A1_Z_VOR_A1_L1_P5,5
A1_V_P1,6
A1_V_P2,7
A1_V_P3,8
A1_V_P4,9
A1_V_P5,10
A1_V_P6,11
A1_K_P1,12
A1_K_P2,13
A1_K_P3,14
A1_L1_INTRO,15
A1_L1_P1,16
A1_L1_P2,17
A1_L1_P3,18
A1_L1_P4,19
A1_L1_P5,20
A1_L1_P6,21
A1_L1_P7,22
A1_L1_P8,23
A1_L1_END,24
A1_L2_INTRO,25
A1_L2_P1,26
A1_L2_P2,27
A1_L2_P3,28
A1_L2_P4,29
A1_L2_P5,30
A1_L2_P6,31
A1_L2_P7,32
A1_L2_P8,33
A1_L2_P9,34
A1_L2_P10,35
A1_L2_P11,36
A1_L2_P12,37
A1_L2_P13,38
A1_L3_P2,39
A1_L3_P3,40
A1_L3_P4,41
A1_L3_P5,42
A1_L3_P6,43
A1_L3_P7,44
A1_L3_P8,45
A1_L3_P9,46
A1_L3_P10,47
A1_L3_P11,48
A1_Z_VOR_A1_L4_INTRO,49
A1_Z_VOR_A1_L4_P1,50
A1_Z_VOR_A1_L4_P2,51
A1_Z_VOR_A1_L4_END,52
A1_L4_INTRO,53
A1_L4_P1,54
A1_L4_P2,55
A1_L4_P3,56
A1_L4_P4,57
A1_L4_P5,58
A1_L4_P6,59
A1_L4_P7,60
A1_L4_P8,61
A1_L4_P9,62
A1_L4_P10,63
A1_L4_P11,64
A1_L4_P12,65
A1_L4_P13,66
A1_L5_INTRO,67
A1_L5_P1,68
A1_L5_P2,69
A1_L5_P3,70
A1_L5_P4,71
A1_L5_P5,72
A1_L5_P6,73
A1_L6_INTRO,74
A1_L6_P1,75
A1_L6_P2,76
A1_L6_P3,77
A1_L6_P4,78
A1_Z_VOR_A1_L7_INTRO,79
A1_Z_VOR_A1_L7_P1,80
A1_Z_VOR_A1_L7_P2,81
A1_Z_VOR_A1_L7_END,82
A1_L7_INTRO,83
A1_L7_P1,84
A1_L7_P2,85
A1_L7_P3,86
A1_L7_P4,87
A1_L7_P5,88
A1_L7_P6,89
A1_L8_INTRO,90
A1_L8_P1,91
A1_L8_P2,92
A1_L8_P3,93
A1_L8_P4,94
A1_L8_P5,95
A1_L8_P6,96
A1_L9_INTRO,97
A1_L9_P1,98
A1_L9_P2,99
A1_L9_P3,100
A1_L9_P4,101
A1_L9_PLAENE,102
A1_L9_CHECK,103
A1_L9_BEWERTEN,104
A1_L9_ZUFRIEDENHEIT,105
A1_L9_INFO,106
A1_L10_INTRO,107
A1_L10_P1,108
A1_L10_P2,109
A1_L10_P3,110
A1_L10_P4,111
A1_L10_P5,112
A1_L10_P6,113
A1_L10_P7,114
A1_L10_P8,115
A1_L10_P9,116
A1_L10_P10,117
A1_L10_P11,118
A1_L10_END,119
A1_Z_VOR_A1_L10_P1,120
A1_Z_VOR_A1_L10_P2,121
A1_Z_VOR_A1_L10_P3,122
A1_Z_VOR_A1_L10_P4,123
A1_Z_VOR_A1_L10_P5,124
A1_L11_INTRO,125
A1_L11_P1,126
A1_L11_P2,127
A1_L11_P3,128
A1_L11_P4,129
A1_L11_END,130
ratings_1,131
